recipient,amount
0x5dcabdb86d93393ec85db5f1b987c90ccad164aa,2462407052669100000
0x984c5d268b220784e87fbe8edbb5c6b9f7ba9fc4,2450036065804580000
0x97f1d907189f593009d4144c3ae2599ab11cd275,2449805618921170000
0x8edad920c3c0e15d90eadedb050df985173260f3,2446385589674360000
0xae334507e5ebac59bb3da9a6208d73773cd78604,2432542482066960000
0xc476acf5242f404029c4fb5de0838680d7067465,2422871862147160000
0x0bbdd27e2da45d2cf8bcbb43487a19ad08b393c1,2379277095700230000
0xacbb228856f194aa5f7001525211c22f097c75cc,2362486064874900000
0xa512731e615bb6ad7e92f54631e9b57235631b1b,2344647711456390000
0xd01b644de76fa56fc655df12573e32f2909f2dac,2333810045878540000
0x82269802d729a1f6b7b4523c5d3f80881e807904,2329754676290590000
0x820911f14bb9594808b3ad2ea84ce90c88461077,2328680629241810000
0x048991621523fd86eebffbf091086b65748efad5,2323914475514840000
0x2079910ed61f95b1c22ab59f648e69df526d534f,2269238788699260000
0x0e3cc9b7f6795be8b2460a1226d6130d6d1a9ff7,2266551824096160000
0x32d7276155f95912c714dcef0dc16b10cfc0594d,2266210822490770000
0xe3b3449f4891246f55d5079c9f26821975781a68,2252011180156950000
0xa131ceb84262816d6dfae8fec166909c68fb8971,2248422144338470000
0xfab1ed72a7236a6b34f47ee7ed103d6cd448c441,2240987563685670000
0x368a2d5cd67bb2c4c742d9482aa09f3126aa0f52,2235606733278160000
0x8316f1807d28c37c41de3630687f3d9d906870cb,2235472650286700000
0x26c04902226c263a0d6a1d3ff0c6e6e73f5f78e6,2224220928360070000
0xe8fbb9bd9ae5143c3c264e21ccc586ba745247b3,2220458984438090000
0x73800459807528072a3b2ed217c1de72f28514f3,2217636317180540000
0xe84e6daaf71ae0a8eab1d31b1d2d787361e55261,2206273617611730000
0xc75ae58a1374a38b5990a18d13b0ec97bbae26b1,2186265473857400000
0x67d32a0133c5a96e8d0b8882cb0249bc995dc53e,2182272364333590000
0x36f90c2ca7e26b11d9ad4c46eb50ee04d1ced565,2180742244207790000
0xb106031241e5bc8b804f23909d87c47be0ed9eb7,2177261064332760000
0x8f4ef72e5a07ce7b4bb842efec90b21ace66dcd7,2166548582663310000
0xa6b6c7f2596ba2a2f51cf2b415001f0a94646f31,2138239281902760000
0xe2e0762e897b48795c4a563bcb98a3a83e3b4a3d,2126012859692970000
0x23db0341471fbae2542a9b88e85c657d69ecaf09,2120336331021140000
0x785c77d2cbc73a9ee1d18185387550e079970271,2118842799398740000
0x6f6b24ba5547d9c6cd80abb81466907249e43daf,2111875233006580000
0x055246e52a35ac9ef840c1ba24573b54eb5cf231,2095037014345890000
0xb6d9bfc618fda27888f88ac84c60a69d7eddad2d,2093822533723210000
0x3a9e0da873dbe52d7869e2fa76aeed965ffc01dc,2091003746009580000
0x063e067d16794d11e95a16f991adb9d339d46c6c,2074535180294370000
0xb42573ddb86b68429c8f791ed0f2b79d2ca95588,2070119508556490000
0x1f83985a63d87de64138d71029818917ca9e9d67,2043569345075960000
0x52228102ad49bf43807787d959bd1a82a8372775,2040811120387440000
0xad2940a2acaa56988afc52cec6898f00bd5466a1,2028264960602320000
0x883ab2ae1bdda0531078b27dd45600193aba1f34,2024114523911890000
0x5a6f23f9ae82024685d11739c4e76077d6167f97,2023495888286210000
0x0b4f719952a27a0a53dc2ee647ee882101e5f4be,2017270265249260000
0x4eae80ba36a73555eb70d77a0715ed9d99742e21,1994404124165820000
0xf89b84432d78c945e646b576113ba1cc0fa1a415,1994213270264990000
0xee9fcd4600eea925dfa00976a4d520c124b7871f,1975317352667190000
0xfd9076a2fc1e33fda531a3892c6515a73feb8f6b,1969996857315630000
0x901a8f18c768f9f11b0770ee34d8f821d42812fd,1964428582370690000
0xbcee5f1a02392608324903fa61e3042dc8a0b641,1958590398358160000
0xb4a968a5230d1dfc493568ab1a71f35dfdf3858b,1954859982130320000
0xd7c9096b4b75581646e09ade59f555d99c355706,1949026326226110000
0x65a040f2b0b04cff77dcf8b65daa83fa94306589,1943179596999810000
0xcd08735420ae2e8488c3237fabab4b1d3be20c66,1917968246792850000
0xca60a1bcfd49e12bd3cba08d3c23693402e0ee8d,1916353159649170000
0x11d0cb5c690bc838efc52c621f6b48040dd000f7,1913343823693130000
0x65f0de1d518829f51b43efa416af2b999f94e6c2,1909307183667350000
0xa89f4919a70e90701b1e36b1ce14a8aaaf38e3ae,1896257374461400000
0xa603831c4acc69b58aac01de180a17538379fcc6,1871699907712470000
0xf7d5782719690994374ab25f9efa334391770be5,1823578260020120000
0x065d8ded4542291376394b8e8ccf7dd597d17ab3,1799017150919420000
0x5427fdaad3c6273fdb389824df8293ab78710183,1790639003039200000
0x08e84be85ab69672cc1be819c2d2c95d0d5790fb,1789369992465170000
0xc4a41305a5487211fe61e18ce7b0c525579d82cf,1783452919077150000
0x020c53f59241ad75b1eeb2a771be09f523a7457d,1766272289569730000
0xf53ea60d7b0e74b2445c4546853ccdcda051aaf4,1765285998025580000
0xcc78c345005d62e477a00147cf515c4efa65a2f5,1764307011833590000
0x97cdd8176084b24ae8a385d4ea9177c31ba0022b,1759746177214410000
0x6ad80b901dbe2507e724d2c80755fef474f10370,1754172998808240000
0x22eef082c1f80758d092a802f77d665480dfb835,1735970765792250000
0x11cbdac3d00aeeebc4a42ca63accb83a5821a1b9,1734870692203700000
0x3976785a595b49c57606c3677543921bf42ebba0,1720541390475530000
0x75eb99cb24d4e50653071a896b0900bac2be2acb,1714718269032610000
0xb2ae66984adfcd7d01184c9091630b51501b1e50,1714019103268970000
0x6eb5121d4cc72efd07b12f1c6091a115c8bffeda,1710123538068510000
0x5890dc2b382ffb6199385d8ceccf7250c0ef31cd,1705448642313250000
0xa69814485958fd719b08c196bd6c18cdb4ca16f5,1705073816368450000
0xad1b9f05f9867a48f3af45906cf81fd04ba8fa73,1692855641222440000
